Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temperature_Difference,Mechanical_Stress,Type_Encoded,Type_H,Type_L,Type_M,Wear_Stress_Index,Failure_Probability,Risk_Category
M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,10.5,66382.79999999999,2,False,False,True,0.0,0.004656155016858244,Low
L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,10.5,65190.4,1,False,True,False,138.89999999999998,0.0167649611921737,Low
L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,10.399999999999975,74001.2,1,False,True,False,247.0,0.004103089039374178,Low
L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,10.400000000000034,56603.5,1,False,True,False,276.5,0.007616455028935445,Low
L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,10.5,56320.0,1,False,True,False,360.0,0.007616455028935445,Low
M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,10.5,59707.5,2,False,False,True,460.9,0.010128048392546472,Low
L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,10.5,66059.2,1,False,True,False,593.6,0.0026897885588111265,Low
L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,10.5,61385.4,1,False,True,False,643.2,0.0003519192033415635,Low
M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,10.399999999999975,47676.2,2,False,False,True,514.8000000000001,0.0031097629829138686,Low
M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,10.5,48748.0,2,False,False,True,588.0,0.002212830361166575,Low
H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,10.5,42589.8,0,True,False,False,573.5999999999999,0.003804822768027952,Low
H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,10.5,63038.9,0,True,False,False,1284.6999999999998,0.0086154658657858,Low
M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,10.5,68422.90000000001,2,False,False,True,1737.4,0.0011585325761871179,Low
M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,10.599999999999966,52260.0,2,False,False,True,1110.0,0.0025217850557614,Low
L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,10.599999999999966,39886.0,1,False,True,False,784.0,0.008129604169299386,Low
L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,10.599999999999966,74632.8,1,False,True,False,2032.8,0.0025069866189736424,Low
M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,10.599999999999966,61092.6,2,False,False,True,2050.4,0.0010766124507322595,Low
M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,10.5,64296.0,2,False,False,True,2143.2000000000003,0.006300125393525336,Low
H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,10.399999999999975,71177.0,0,True,False,False,2725.0,0.0016773234905522203,Low
M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,10.400000000000034,53040.0,2,False,False,True,1787.5,0.0010325310723739453,Low
H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,10.400000000000034,58712.50000000001,0,True,False,False,2476.6000000000004,0.002023323897437552,Low
L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,10.5,64959.99999999999,1,False,True,False,2822.4,0.001933606409300814,Low
M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,10.400000000000034,48536.7,2,False,False,True,1995.5,0.010184476221968622,Low
L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,10.399999999999975,45180.6,1,False,True,False,1747.6,0.0054450371841374585,Low
M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,10.399999999999975,58225.3,2,False,False,True,2611.0,0.000562705896698603,Low
L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,10.5,43361.3,1,False,True,False,1700.9,0.00938496312022305,Low
L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,10.399999999999975,58968.0,1,False,True,False,2925.0,0.000562705896698603,Low
H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,10.299999999999956,44550.600000000006,0,True,False,False,1894.2,0.0054450371841374585,Low
L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,10.299999999999956,63603.8,1,False,True,False,3624.4,0.011037221985257431,Low
L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,10.399999999999975,50959.3,1,False,True,False,2528.4,0.0030265327798578937,Low
M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,10.399999999999975,64539.8,2,False,False,True,4145.2,0.002082063158248884,Low
L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,10.399999999999975,45849.0,1,False,True,False,2269.5,0.0054450371841374585,Low
L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,10.399999999999975,68537.7,1,False,True,False,4395.3,0.008096501846367411,Low
L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,10.400000000000034,54112.5,1,False,True,False,3022.5,0.001240550407487199,Low
M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,10.300000000000011,54097.3,2,False,False,True,3296.5000000000005,0.0017228197159437743,Low
M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,10.399999999999975,70567.2,2,False,False,True,4762.8,0.004011822191540183,Low
M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,10.300000000000011,58022.7,2,False,False,True,3706.7,0.000562705896698603,Low
L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,10.300000000000011,56408.8,1,False,True,False,4076.8,0.00910718695067302,Low
H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,10.300000000000011,69915.3,0,True,False,False,5374.200000000001,0.0011964037091562732,Low
L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,10.300000000000011,70875.0,1,False,True,False,5827.5,0.00035049822838692263,Low
L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,10.300000000000011,61834.8,1,False,True,False,5130.2,0.0009573700776073313,Low
L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,10.300000000000011,69494.4,1,False,True,False,5842.0,0.00035049822838692263,Low
M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,10.300000000000011,67168.8,2,False,False,True,5744.7,0.00035049822838692263,Low
H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,10.399999999999975,66542.0,0,True,False,False,5820.0,0.0006190763313189867,Low
M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,10.300000000000011,69920.0,2,False,False,True,5937.5,0.002474760530786616,Low
L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,10.300000000000011,73109.90000000001,1,False,True,False,6284.8,0.002474760530786616,Low
M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,10.300000000000011,47549.4,2,False,False,True,3354.0,0.003162370950157652,Low
L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,10.300000000000011,65653.4,1,False,True,False,6157.9,0.0033895873108484935,Low
H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,10.399999999999975,76807.5,0,True,False,False,7276.5,0.0033504106851512017,Low
M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,10.300000000000011,62269.2,2,False,False,True,6174.0,0.00204356347922356,Low
